lr;epoch;iteration;global_iteration
5.202913631633715e-06;0;100;100
1.040582726326743e-05;0;200;200
1.5608740894901145e-05;0;300;300
2.081165452653486e-05;0;400;400
2.6014568158168572e-05;0;500;500
3.121748178980229e-05;0;600;600
3.6420395421436006e-05;0;700;700
4.162330905306972e-05;0;800;800
4.6826222684703436e-05;0;900;900
4.977454040929587e-05;0;1000;1000
4.9196438894669903e-05;0;1100;1100
4.861833738004394e-05;0;1200;1200
4.804023586541797e-05;0;1300;1300
4.7462134350792e-05;0;1400;1400
4.688403283616603e-05;0;1500;1500
4.630593132154006e-05;0;1600;1600
4.57278298069141e-05;0;1700;1700
4.514972829228813e-05;0;1800;1800
4.4571626777662165e-05;0;1900;1900
4.399352526303619e-05;1;78;2000
4.3415423748410225e-05;1;178;2100
4.2837322233784255e-05;1;278;2200
4.2259220719158286e-05;1;378;2300
4.1681119204532316e-05;1;478;2400
4.1103017689906346e-05;1;578;2500
4.052491617528038e-05;1;678;2600
3.994681466065441e-05;1;778;2700
3.936871314602844e-05;1;878;2800
3.879061163140247e-05;1;978;2900
3.82125101167765e-05;1;1078;3000
3.763440860215054e-05;1;1178;3100
3.705630708752457e-05;1;1278;3200
3.647820557289861e-05;1;1378;3300
3.590010405827263e-05;1;1478;3400
3.532200254364667e-05;1;1578;3500
3.47439010290207e-05;1;1678;3600
3.416579951439473e-05;1;1778;3700
3.3587697999768765e-05;1;1878;3800
3.300959648514279e-05;2;56;3900
3.2431494970516825e-05;2;156;4000
3.1853393455890855e-05;2;256;4100
3.127529194126489e-05;2;356;4200
3.0697190426638916e-05;2;456;4300
3.011908891201295e-05;2;556;4400
2.9540987397386983e-05;2;656;4500
2.8962885882761016e-05;2;756;4600
2.8384784368135046e-05;2;856;4700
2.7806682853509077e-05;2;956;4800
2.7228581338883107e-05;2;1056;4900
2.665047982425714e-05;2;1156;5000
2.6072378309631174e-05;2;1256;5100
2.5494276795005207e-05;2;1356;5200
2.4916175280379238e-05;2;1456;5300
2.4338073765753268e-05;2;1556;5400
2.3759972251127298e-05;2;1656;5500
2.318187073650133e-05;2;1756;5600
2.260376922187536e-05;2;1856;5700
2.2025667707249395e-05;3;34;5800
2.1447566192623425e-05;3;134;5900
2.086946467799746e-05;3;234;6000
2.029136316337149e-05;3;334;6100
1.9713261648745522e-05;3;434;6200
1.9135160134119553e-05;3;534;6300
1.8557058619493583e-05;3;634;6400
1.7978957104867616e-05;3;734;6500
1.7400855590241646e-05;3;834;6600
1.682275407561568e-05;3;934;6700
1.624465256098971e-05;3;1034;6800
1.5666551046363744e-05;3;1134;6900
1.5088449531737775e-05;3;1234;7000
1.4510348017111806e-05;3;1334;7100
1.3932246502485837e-05;3;1434;7200
1.3354144987859868e-05;3;1534;7300
1.2776043473233901e-05;3;1634;7400
1.2197941958607933e-05;3;1734;7500
1.1619840443981963e-05;3;1834;7600
1.1041738929355995e-05;4;12;7700
1.0463637414730027e-05;4;112;7800
9.885535900104059e-06;4;212;7900
9.30743438547809e-06;4;312;8000
8.729332870852122e-06;4;412;8100
8.151231356226154e-06;4;512;8200
7.573129841600185e-06;4;612;8300
6.995028326974216e-06;4;712;8400
6.416926812348249e-06;4;812;8500
5.83882529772228e-06;4;912;8600
5.260723783096312e-06;4;1012;8700
4.682622268470344e-06;4;1112;8800
4.1045207538443754e-06;4;1212;8900
3.5264192392184073e-06;4;1312;9000
2.9483177245924387e-06;4;1412;9100
2.3702162099664705e-06;4;1512;9200
1.7921146953405017e-06;4;1612;9300
1.2140131807145336e-06;4;1712;9400
6.359116660885652e-07;4;1812;9500
5.781015146259683e-08;4;1912;9600
